symbol,sector,signalDate,entryDate,exitDate,holdingDays,entryPrice,grossReturnPct,netReturnPct,maePct,mfePct,win,finalReason,nExits
ADANIENT,Misc Large-Cap,2024-07-01,2024-07-02,2024-07-03,1,3084.36,0.249,0.149,-1.58,0.83,1,thesis-break,1
ADANIPOWER,Power / Utilities,2024-07-01,2024-07-02,2024-07-03,1,143.47,-0.343,-0.443,-1.28,2.18,0,thesis-break,1
AUROPHARMA,Pharma / Healthcare,2024-07-01,2024-07-02,2024-07-08,6,1219.41,6.547,6.447,-1.35,8.88,1,target2,2
BAJAJ-AUTO,Auto,2024-07-01,2024-07-02,2024-07-03,1,9524.76,-1.124,-1.224,-1.51,0.32,0,thesis-break,1
COALINDIA,Metals / Mining,2024-07-01,2024-07-02,2024-07-09,7,478.24,3.202,3.102,-1.02,3.91,1,time-stop,1
COLPAL,FMCG / Consumer,2024-07-01,2024-07-02,2024-07-09,7,2889.44,3.621,3.521,-1.36,4.52,1,time-stop,1
HINDZINC,Metals / Mining,2024-07-01,2024-07-02,2024-07-09,7,660.23,4.955,4.855,-1.55,8.6,1,time-stop,2
INDIGO,Aviation / Logistics,2024-07-01,2024-07-02,2024-07-09,7,4237.07,1.555,1.455,-0.39,2.55,1,time-stop,1
IOC,Oil & Gas / Energy,2024-07-01,2024-07-02,2024-07-09,7,168.08,2.085,1.985,-0.64,2.81,1,time-stop,1
KEI,Infra / Capital Goods,2024-07-01,2024-07-02,2024-07-09,7,4497.25,1.447,1.347,-0.72,6.06,1,time-stop,1
LICI,Insurance,2024-07-01,2024-07-02,2024-07-02,0,499.25,-1.678,-1.778,-1.63,0.12,0,stop-loss,1
MARICO,FMCG / Consumer,2024-07-01,2024-07-02,2024-07-02,0,620.81,-2.832,-2.932,-3.19,0.11,0,stop-loss,1
NHPC,Power / Utilities,2024-07-01,2024-07-02,2024-07-09,7,100.4,5.575,5.475,-1.68,7.06,1,target2,2
OBEROIRLTY,Realty,2024-07-01,2024-07-02,2024-07-03,1,1778.89,1.021,0.921,-1.28,2.25,1,thesis-break,1
