subject,horizon,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
momentum_12_1,1,0.013185,0.153734,0.085766,2.847116,2.753394,1102
momentum_12_1,3,0.022476,0.162069,0.138684,4.599624,3.009356,1100
momentum_12_1,5,0.026659,0.165047,0.161526,5.352328,2.838772,1098
momentum_12_1,10,0.031003,0.165704,0.187097,6.185541,2.34029,1093
momentum_12_1,21,0.043325,0.171275,0.252958,8.320747,2.190415,1082
momentum_12_1,63,0.059481,0.183981,0.323298,10.426046,1.558758,1040
reversal_5d,1,-0.011691,0.144661,-0.080815,-2.968251,-2.933259,1349
reversal_5d,3,-0.018428,0.143481,-0.128433,-4.713676,-3.34851,1347
reversal_5d,5,-0.019767,0.145161,-0.13617,-4.993922,-3.108052,1345
reversal_5d,10,-0.007925,0.136828,-0.057917,-2.120105,-1.128218,1340
reversal_5d,21,-0.001337,0.130569,-0.010241,-0.373322,-0.164731,1329
reversal_5d,63,-0.002361,0.122631,-0.019255,-0.69078,-0.283892,1287
