subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,1,EW,ALL,1,19532,0.0836,0.0199
trend,fwd,1,EW,ALL,2,19003,0.0331,0
trend,fwd,1,EW,ALL,3,19114,0.0693,0.0241
trend,fwd,1,EW,ALL,4,18833,0.0641,0.0301
trend,fwd,1,EW,ALL,5,18822,0.0711,0.0287
trend,fwd,1,EW,ALL,6,19324,0.0991,0.0656
trend,fwd,1,EW,ALL,7,19020,0.0757,0.0212
trend,fwd,1,EW,ALL,8,18927,0.0665,0.0267
trend,fwd,1,EW,ALL,9,19190,0.0851,0.0384
trend,fwd,1,EW,ALL,10,18444,0.0782,0.0386
trend,fwd,1,VW,ALL,1,19532,0.0693,0.0199
trend,fwd,1,VW,ALL,2,19003,0.0402,0
trend,fwd,1,VW,ALL,3,19114,0.0597,0.0241
trend,fwd,1,VW,ALL,4,18833,0.0455,0.0301
trend,fwd,1,VW,ALL,5,18822,0.0879,0.0287
trend,fwd,1,VW,ALL,6,19324,0.0816,0.0656
trend,fwd,1,VW,ALL,7,19020,0.0812,0.0212
trend,fwd,1,VW,ALL,8,18927,0.054,0.0267
trend,fwd,1,VW,ALL,9,19190,0.0491,0.0384
trend,fwd,1,VW,ALL,10,18444,0.0487,0.0386
trend,fwd,3,EW,ALL,1,19498,0.2369,0.0913
trend,fwd,3,EW,ALL,2,18969,0.1109,0.0141
trend,fwd,3,EW,ALL,3,19080,0.182,0.1008
trend,fwd,3,EW,ALL,4,18801,0.1946,0.1038
trend,fwd,3,EW,ALL,5,18788,0.2194,0.1273
trend,fwd,3,EW,ALL,6,19290,0.2863,0.1858
trend,fwd,3,EW,ALL,7,18988,0.2609,0.1427
trend,fwd,3,EW,ALL,8,18893,0.2044,0.1244
trend,fwd,3,EW,ALL,9,19156,0.2514,0.1435
trend,fwd,3,EW,ALL,10,18412,0.2311,0.1408
trend,fwd,3,VW,ALL,1,19498,0.2382,0.0913
trend,fwd,3,VW,ALL,2,18969,0.1009,0.0141
trend,fwd,3,VW,ALL,3,19080,0.141,0.1008
trend,fwd,3,VW,ALL,4,18801,0.1952,0.1038
trend,fwd,3,VW,ALL,5,18788,0.1992,0.1273
trend,fwd,3,VW,ALL,6,19290,0.2365,0.1858
trend,fwd,3,VW,ALL,7,18988,0.2975,0.1427
trend,fwd,3,VW,ALL,8,18893,0.0983,0.1244
trend,fwd,3,VW,ALL,9,19156,0.1669,0.1435
trend,fwd,3,VW,ALL,10,18412,0.1656,0.1408
trend,fwd,5,EW,ALL,1,19464,0.3583,0.1635
trend,fwd,5,EW,ALL,2,18935,0.213,0.0783
trend,fwd,5,EW,ALL,3,19046,0.3165,0.1991
trend,fwd,5,EW,ALL,4,18769,0.2976,0.2028
trend,fwd,5,EW,ALL,5,18754,0.3707,0.2866
trend,fwd,5,EW,ALL,6,19256,0.475,0.3716
trend,fwd,5,EW,ALL,7,18956,0.4191,0.2836
trend,fwd,5,EW,ALL,8,18859,0.31,0.1963
trend,fwd,5,EW,ALL,9,19122,0.4462,0.2609
trend,fwd,5,EW,ALL,10,18380,0.3994,0.3024
trend,fwd,5,VW,ALL,1,19464,0.4105,0.1635
trend,fwd,5,VW,ALL,2,18935,0.2025,0.0783
trend,fwd,5,VW,ALL,3,19046,0.2654,0.1991
trend,fwd,5,VW,ALL,4,18769,0.2468,0.2028
trend,fwd,5,VW,ALL,5,18754,0.3157,0.2866
trend,fwd,5,VW,ALL,6,19256,0.4289,0.3716
trend,fwd,5,VW,ALL,7,18956,0.4103,0.2836
