subject,labelType,horizon,weighting,regime,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
trend,fwd,1,EW,ALL,0.006768,0.143958,0.047017,1.593733,1.558661,1149
trend,fwd,3,EW,ALL,0.008827,0.148725,0.059354,2.010152,1.34647,1147
trend,fwd,5,EW,ALL,0.009733,0.146242,0.066552,2.251983,1.24676,1145
trend,fwd,10,EW,ALL,0.011604,0.137817,0.084201,2.84297,1.163073,1140
trend,fwd,21,EW,ALL,0.011803,0.137203,0.086029,2.890615,0.834962,1129
trend,fwd,63,EW,ALL,0.018217,0.134768,0.135174,4.456647,0.765476,1087
trend,fwd,1,EW,BULL,0.009859,0.134365,0.073372,1.756344,1.734936,573
trend,fwd,3,EW,BULL,0.017206,0.141406,0.121677,2.91264,1.999329,573
trend,fwd,5,EW,BULL,0.021932,0.135989,0.161277,3.860558,2.220994,573
trend,fwd,10,EW,BULL,0.027643,0.130788,0.21136,5.054998,2.003707,572
trend,fwd,21,EW,BULL,0.032962,0.138467,0.238047,5.693245,1.577952,572
trend,fwd,63,EW,BULL,0.03983,0.126307,0.315345,7.54196,1.453258,572
trend,fwd,1,EW,BEAR,-0.005958,0.1622,-0.036735,-0.359923,-0.323098,96
trend,fwd,3,EW,BEAR,-0.032104,0.175127,-0.183319,-1.796152,-1.332956,96
trend,fwd,5,EW,BEAR,-0.038833,0.167432,-0.231935,-2.272491,-1.552519,96
trend,fwd,10,EW,BEAR,-0.03425,0.13375,-0.256075,-2.509011,-1.262763,96
trend,fwd,21,EW,BEAR,-0.038969,0.13794,-0.282504,-2.767966,-1.681858,96
trend,fwd,63,EW,BEAR,-0.103739,0.141255,-0.734409,-7.044199,-3.188355,92
trend,fwd,1,EW,SIDEWAYS,0.011265,0.145743,0.077296,1.431537,1.425534,343
trend,fwd,3,EW,SIDEWAYS,0.017328,0.143254,0.120963,2.233732,1.582888,341
trend,fwd,5,EW,SIDEWAYS,0.018876,0.145919,0.12936,2.381766,1.386498,339
trend,fwd,10,EW,SIDEWAYS,0.008964,0.148301,0.060446,1.106342,0.553404,335
trend,fwd,21,EW,SIDEWAYS,-0.006247,0.133876,-0.046662,-0.839917,-0.346869,324
trend,fwd,63,EW,SIDEWAYS,0.016003,0.129205,0.123862,2.09469,0.550782,286
trend,fwd,1,EW,HIGH_VOL,-0.008697,0.164707,-0.052803,-0.606657,-0.608441,132
trend,fwd,3,EW,HIGH_VOL,-0.018106,0.167381,-0.108173,-1.242813,-0.876771,132
trend,fwd,5,EW,HIGH_VOL,-0.032303,0.161659,-0.199822,-2.295779,-1.479025,132
trend,fwd,10,EW,HIGH_VOL,-0.015644,0.131995,-0.118519,-1.361678,-0.826707,132
trend,fwd,21,EW,HIGH_VOL,0.001409,0.12196,0.011554,0.132742,0.048858,132
trend,fwd,63,EW,HIGH_VOL,0.016924,0.13196,0.128253,1.473515,0.560249,132
trend,xs,1,EW,ALL,0.00675,0.143987,0.046881,1.589115,1.554339,1149
trend,xs,3,EW,ALL,0.008826,0.148732,0.059339,2.00966,1.346218,1147
trend,xs,5,EW,ALL,0.009742,0.146244,0.066617,2.254181,1.248001,1145
trend,xs,10,EW,ALL,0.011621,0.137836,0.084311,2.846666,1.164651,1140
trend,xs,21,EW,ALL,0.011819,0.137205,0.086144,2.894478,0.836134,1129
trend,xs,63,EW,ALL,0.018205,0.134774,0.135079,4.453508,0.76482,1087
trend,xs,1,EW,BULL,0.009857,0.134409,0.073335,1.755455,1.734384,573
trend,xs,3,EW,BULL,0.017213,0.141418,0.121716,2.913572,2.000047,573
trend,xs,5,EW,BULL,0.021935,0.135987,0.161306,3.861241,2.221357,573
trend,xs,10,EW,BULL,0.027633,0.13079,0.211277,5.053005,2.003096,572
trend,xs,21,EW,BULL,0.03297,0.138467,0.238109,5.694744,1.57852,572
trend,xs,63,EW,BULL,0.039841,0.126314,0.315411,7.543527,1.453342,572
trend,xs,1,EW,BEAR,-0.005958,0.1622,-0.036735,-0.359923,-0.323098,96
trend,xs,3,EW,BEAR,-0.032104,0.175127,-0.183319,-1.796152,-1.332956,96
trend,xs,5,EW,BEAR,-0.038833,0.167432,-0.231935,-2.272491,-1.552519,96
trend,xs,10,EW,BEAR,-0.03425,0.13375,-0.256075,-2.509011,-1.262763,96
trend,xs,21,EW,BEAR,-0.038969,0.13794,-0.282504,-2.767966,-1.681858,96
trend,xs,63,EW,BEAR,-0.103739,0.141255,-0.734409,-7.044199,-3.188355,92
trend,xs,1,EW,SIDEWAYS,0.011207,0.145771,0.076881,1.423854,1.418058,343
trend,xs,3,EW,SIDEWAYS,0.017311,0.143258,0.120836,2.231389,1.581633,341
trend,xs,5,EW,SIDEWAYS,0.018903,0.145926,0.129535,2.385001,1.388527,339
trend,xs,10,EW,SIDEWAYS,0.009039,0.148361,0.060925,1.115103,0.557641,335
trend,xs,21,EW,SIDEWAYS,-0.006207,0.133885,-0.046359,-0.834462,-0.344738,324
trend,xs,63,EW,SIDEWAYS,0.015927,0.129208,0.123263,2.084571,0.548368,286
trend,xs,1,EW,HIGH_VOL,-0.008697,0.164707,-0.052803,-0.606657,-0.608441,132
trend,xs,3,EW,HIGH_VOL,-0.018106,0.167381,-0.108173,-1.242813,-0.876771,132
trend,xs,5,EW,HIGH_VOL,-0.032303,0.161659,-0.199822,-2.295779,-1.479025,132
trend,xs,10,EW,HIGH_VOL,-0.015644,0.131995,-0.118519,-1.361678,-0.826707,132
trend,xs,21,EW,HIGH_VOL,0.001409,0.12196,0.011554,0.132742,0.048858,132
trend,xs,63,EW,HIGH_VOL,0.016947,0.131968,0.128417,1.4754,0.560816,132
trend,resid,1,EW,ALL,-0.00104,0.096614,-0.010765,-0.364894,-0.365089,1149
trend,resid,3,EW,ALL,-0.001845,0.098928,-0.018648,-0.631558,-0.422772,1147
trend,resid,5,EW,ALL,-0.002172,0.097352,-0.022311,-0.75497,-0.416738,1145
trend,resid,10,EW,ALL,-0.002099,0.095203,-0.022049,-0.744455,-0.302043,1140
trend,resid,21,EW,ALL,0.000528,0.097323,0.005424,0.182257,0.050596,1129
trend,resid,63,EW,ALL,0.005232,0.097451,0.053687,1.770037,0.324489,1087
trend,resid,1,EW,BULL,0.00282,0.097466,0.028936,0.692646,0.699284,573
trend,resid,3,EW,BULL,0.00544,0.100497,0.054129,1.295704,0.888734,573
trend,resid,5,EW,BULL,0.007606,0.096655,0.078688,1.883582,1.069531,573
